admin1,MMWRyear,MMWRweek,,
Haut-Katanga,2013,15,,
Haut-Katanga,2013,14,,
Haut-Katanga,2013,14,,
Haut-Katanga,2013,14,,
Haut-Katanga,2013,14,,
Haut-Katanga,2013,12,,
Haut-Katanga,2013,12,,
Haut-Katanga,2013,10,,
Haut-Katanga,2013,9,,
Haut-Katanga,2013,9,,
Haut-Katanga,2013,9,,
Haut-Katanga,2013,9,,
Haut-Katanga,2013,9,,
Haut-Katanga,2013,8,,
Haut-Katanga,2013,8,,
Haut-Katanga,2013,8,,
Haut-Katanga,2013,7,,
Haut-Katanga,2013,6,,
Haut-Katanga,2013,5,,
Haut-Katanga,2013,4,,
Haut-Katanga,2013,4,,
Haut-Katanga,2013,2,,
Haut-Katanga,2013,2,,
Haut-Katanga,2013,1,,
Haut-Katanga,2013,1,,
Haut-Katanga,2013,1,,
Haut-Katanga,2013,1,,
Haut-Katanga,2012,51,,
Haut-Katanga,2012,50,,
Haut-Katanga,2012,49,,
Haut-Katanga,2012,48,,
Haut-Katanga,2012,47,,
Haut-Katanga,2012,46,,
Haut-Katanga,2012,46,,
Haut-Katanga,2012,43,,
Haut-Katanga,2012,41,,
Haut-Katanga,2012,41,,
Haut-Katanga,2012,34,,
Haut-Katanga,2012,34,,
Haut-Katanga,2012,32,,
Haut-Katanga,2012,31,,
Haut-Katanga,2012,29,,
Haut-Katanga,2012,29,,
Haut-Katanga,2012,27,,
Haut-Katanga,2012,27,,
Haut-Katanga,2012,23,,
Haut-Katanga,2012,22,,
Haut-Katanga,2012,16,,
Haut-Katanga,2012,8,,
Haut-Katanga,2012,7,,
Haut-Katanga,2011,50,,
Haut-Katanga,2011,49,,
Haut-Katanga,2011,49,,
Haut-Katanga,2011,49,,
Haut-Katanga,2011,48,,
Haut-Katanga,2011,48,,
Haut-Katanga,2011,45,,
Haut-Katanga,2011,45,,
Haut-Katanga,2011,45,,
Haut-Katanga,2011,44,,
Haut-Katanga,2011,36,,
Haut-Katanga,2011,36,,
Haut-Katanga,2011,35,,
Haut-Katanga,2011,34,,
Haut-Katanga,2011,28,,
Haut-Katanga,2011,26,,
Haut-Katanga,2011,26,,
Haut-Katanga,2011,5,,
Haut-Katanga,2011,5,,
Haut-Katanga,2010,48,,
Haut-Katanga,2010,47,,
Haut-Lomami,2020,19,,
Haut-Lomami,2020,19,,
Haut-Lomami,2019,48,,
Haut-Lomami,2019,45,,
Haut-Lomami,2019,29,,
Haut-Lomami,2018,29,,
Haut-Lomami,2018,25,,
Haut-Lomami,2018,25,,
Haut-Lomami,2018,23,,
Haut-Lomami,2018,21,,
Haut-Lomami,2018,2,,
Haut-Lomami,2018,2,,
Haut-Lomami,2017,51,,
Haut-Lomami,2017,21,,
Haut-Lomami,2017,21,,
Haut-Lomami,2017,15,,
Haut-Lomami,2017,12,,
Haut-Lomami,2016,44,,
Haut-Lomami,2016,42,,
Haut-Lomami,2016,38,,
Haut-Lomami,2016,38,,
Haut-Lomami,2016,33,,
Haut-Lomami,2016,24,,
Haut-Lomami,2016,23,,
Haut-Lomami,2015,43,,
Haut-Lomami,2015,43,,
Haut-Lomami,2015,43,,
Haut-Lomami,2015,42,,
Haut-Lomami,2015,29,,
Haut-Lomami,2015,28,,
Haut-Lomami,2015,13,,
Haut-Lomami,2015,11,,
Haut-Lomami,2014,49,,
Haut-Lomami,2014,43,,
Haut-Lomami,2014,38,,
Haut-Lomami,2014,38,,
Haut-Lomami,2014,38,,
Haut-Lomami,2014,37,,
Haut-Lomami,2014,31,,
Haut-Lomami,2014,30,,
Haut-Lomami,2014,29,,
Haut-Lomami,2014,29,,
Haut-Lomami,2014,14,,
Haut-Lomami,2014,11,,
Haut-Lomami,2014,9,,
Haut-Lomami,2013,49,,
Haut-Lomami,2013,47,,
Haut-Lomami,2013,40,,
Haut-Lomami,2013,36,,
Haut-Lomami,2013,31,,
Haut-Lomami,2013,24,,
Haut-Lomami,2013,21,,
Haut-Lomami,2013,10,,
Haut-Lomami,2013,8,,
Haut-Lomami,2013,5,,
Haut-Lomami,2013,4,,
Haut-Lomami,2012,46,,
Haut-Lomami,2012,17,,
Haut-Lomami,2011,50,,
Haut-Lomami,2011,49,,
Haut-Lomami,2011,49,,
Haut-Lomami,2011,46,,
Haut-Lomami,2011,46,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,20,,
Ituri,2020,19,,
Ituri,2020,19,,
Ituri,2020,19,,
Ituri,2020,19,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,18,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,17,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,16,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,15,,
Ituri,2020,14,,
Ituri,2020,14,,
Ituri,2020,14,,
Ituri,2020,14,,
Ituri,2020,14,,
Ituri,2020,14,,
Ituri,2020,14,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,13,,
Ituri,2020,12,,
Ituri,2020,12,,
Ituri,2020,12,,
Ituri,2020,12,,
Ituri,2020,12,,
Ituri,2020,12,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,11,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,10,,
Ituri,2020,9,,
Ituri,2020,9,,
Ituri,2020,9,,
Ituri,2020,9,,
Ituri,2020,9,,
Ituri,2020,9,,
Ituri,2020,8,,
Ituri,2020,8,,
Ituri,2020,8,,
Ituri,2020,8,,
Ituri,2020,8,,
Ituri,2020,8,,
Ituri,2020,8,,
Ituri,2020,7,,
Ituri,2020,7,,
Ituri,2020,7,,
Ituri,2020,7,,
Ituri,2020,7,,
Ituri,2020,7,,
Ituri,2020,6,,
Ituri,2020,6,,
Ituri,2020,6,,
Ituri,2020,6,,
Ituri,2020,6,,
Ituri,2020,5,,
Ituri,2020,5,,
Ituri,2020,5,,
Ituri,2020,5,,
Ituri,2020,4,,
Ituri,2020,4,,
Ituri,2020,4,,
Ituri,2020,4,,
Ituri,2020,4,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,3,,
Ituri,2020,2,,
Ituri,2020,1,,
Ituri,2020,1,,
Ituri,2020,1,,
Ituri,2020,1,,
Ituri,2020,1,,
Ituri,2020,1,,
Ituri,2020,1,,
Ituri,2019,51,,
Ituri,2019,51,,
Ituri,2019,50,,
Ituri,2019,50,,
Ituri,2019,50,,
Ituri,2019,50,,
Ituri,2019,50,,
Ituri,2019,50,,
Ituri,2019,49,,
Ituri,2019,49,,
Ituri,2019,49,,
Ituri,2019,48,,
Ituri,2019,47,,
Ituri,2019,47,,
Ituri,2019,47,,
Ituri,2019,46,,
Ituri,2019,46,,
Ituri,2019,45,,
Ituri,2019,45,,
Ituri,2019,44,,
Ituri,2019,44,,
Ituri,2019,44,,
Ituri,2019,44,,
Ituri,2019,44,,
Ituri,2019,44,,
Ituri,2019,44,,
Ituri,2019,43,,
Ituri,2019,43,,
Ituri,2019,43,,
Ituri,2019,42,,
Ituri,2019,42,,
Ituri,2019,42,,
Ituri,2019,42,,
Ituri,2019,41,,
Ituri,2019,41,,
Ituri,2019,41,,
Ituri,2019,40,,
Ituri,2019,40,,
Ituri,2019,40,,
Ituri,2019,39,,
Ituri,2019,39,,
Ituri,2019,38,,
Ituri,2019,38,,
Ituri,2019,38,,
Ituri,2019,38,,
Ituri,2019,38,,
Ituri,2019,38,,
Ituri,2019,38,,
Ituri,2019,37,,
Ituri,2019,37,,
Ituri,2019,37,,
Ituri,2019,37,,
Ituri,2019,36,,
Ituri,2019,36,,
Ituri,2019,36,,
Ituri,2019,35,,
Ituri,2019,35,,
Ituri,2019,35,,
Ituri,2019,34,,
Ituri,2019,34,,
