lctn_pr,admin0,admin1,admin2,start_date,end_date,year,month,day,ipcc_region,ipcc_code,lon,lat
14671,COD,sudkivu,kaniolahealthdistrict,2010-03-29,2010-06-06,2010,3,29,S.Eastern-Africa,SEAF,28.408640726447,-2.54149107260876
14672,COD,sudkivu,katanahealthdistrict,2010-03-15,2011-01-02,2010,3,15,S.Eastern-Africa,SEAF,28.7853612183747,-2.21752896056508
14672,COD,sudkivu,katanahealthdistrict,2011-10-17,2012-01-29,2011,10,17,S.Eastern-Africa,SEAF,28.7853612183747,-2.21752896056508
14672,COD,sudkivu,katanahealthdistrict,2015-08-03,2015-09-20,2015,8,3,S.Eastern-Africa,SEAF,28.7853612183747,-2.21752896056508
14675,COD,sudkivu,kitutuhealthdistrict,2013-07-01,2014-01-26,2013,7,1,S.Eastern-Africa,SEAF,28.0693695895779,-3.48809511029666
14676,COD,sudkivu,lemerahealthdistrict,2012-08-13,2012-09-23,2012,8,13,S.Eastern-Africa,SEAF,29.0296923396079,-3.00394223548959
14676,COD,sudkivu,lemerahealthdistrict,2013-04-01,2013-06-02,2013,4,1,S.Eastern-Africa,SEAF,29.0296923396079,-3.00394223548959
14679,COD,sudkivu,minovahealthdistrict,2010-10-25,2011-01-23,2010,10,25,S.Eastern-Africa,SEAF,28.9351453888614,-1.78682683188168
14679,COD,sudkivu,minovahealthdistrict,2017-07-31,2018-03-04,2017,7,31,S.Eastern-Africa,SEAF,28.9351453888614,-1.78682683188168
14679,COD,sudkivu,minovahealthdistrict,2012-08-27,2013-01-27,2012,8,27,S.Eastern-Africa,SEAF,28.9351453888614,-1.78682683188168
14679,COD,sudkivu,minovahealthdistrict,2013-04-22,2013-06-09,2013,4,22,S.Eastern-Africa,SEAF,28.9351453888614,-1.78682683188168
14679,COD,sudkivu,minovahealthdistrict,2013-09-02,2014-07-27,2013,9,2,S.Eastern-Africa,SEAF,28.9351453888614,-1.78682683188168
14679,COD,sudkivu,minovahealthdistrict,2014-10-20,2014-12-07,2014,10,20,S.Eastern-Africa,SEAF,28.9351453888614,-1.78682683188168
14680,COD,sudkivu,mitimurhesahealthdistrict,2010-03-29,2010-07-04,2010,3,29,S.Eastern-Africa,SEAF,28.8616165590507,-2.33752604504267
14680,COD,sudkivu,mitimurhesahealthdistrict,2011-10-03,2012-02-05,2011,10,3,S.Eastern-Africa,SEAF,28.8616165590507,-2.33752604504267
14680,COD,sudkivu,mitimurhesahealthdistrict,2014-10-06,2015-01-11,2014,10,6,S.Eastern-Africa,SEAF,28.8616165590507,-2.33752604504267
14680,COD,sudkivu,mitimurhesahealthdistrict,2017-10-09,2018-02-04,2017,10,9,S.Eastern-Africa,SEAF,28.8616165590507,-2.33752604504267
14682,COD,sudkivu,mwanahealthdistrict,2011-12-12,2012-04-08,2011,12,12,S.Eastern-Africa,SEAF,28.7022384553878,-2.91301763429395
